ticker,n_forecasts,breach_95,breach_rate_95,kupiec_p_95,breach_99,breach_rate_99,kupiec_p_99
VCB,246,17,0.06910569105691057,0.19254426915894096,6,0.024390243902439025,0.0553707893979023
VIC,246,24,0.0975609756097561,0.0023146746378914784,7,0.028455284552845527,0.017498754379212667
HPG,246,13,0.052845528455284556,0.8391499068818281,6,0.024390243902439025,0.0553707893979023
VNM,246,23,0.09349593495934959,0.004974399613577041,7,0.028455284552845527,0.017498754379212667
FPT,246,17,0.06910569105691057,0.19254426915894096,5,0.02032520325203252,0.15327521764020346
GAS,246,29,0.11788617886178862,2.7703119975241997e-05,5,0.02032520325203252,0.15327521764020346
