,actual_return,VaR_95,VaR_99,CVaR_95,CVaR_99
2025-04-03,-7.197349962508922,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-04-04,-0.49875415110390514,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-04-08,-7.25706928348355,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-04-09,-6.096069978968713,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-04-10,6.6322642931072515,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-04-11,6.386984842793539,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-04-14,-0.8396354952906279,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-04-15,1.173525621842093,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-04-16,-1.1735256218420964,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-04-17,-2.04436421458142,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-04-18,0.0,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-04-21,0.1719690879526679,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-04-22,0.5141399500418652,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-04-23,-0.8583743691391442,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-04-24,0.34423441909729197,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-04-25,-1.2100406934087453,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-04-28,0.0,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-04-29,-0.34843240826109223,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-05-05,-0.3496507058729314,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-05-06,-0.17528488274143605,-1.394534904577582,-2.4150014047690154,-2.068156185790448,-3.3245121528611152
2025-05-07,0.0,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
2025-05-08,0.1752848827414387,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
2025-05-09,-0.879513145282729,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
2025-05-12,0.0,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
2025-05-13,0.3527340517968441,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
2025-05-14,3.2903401106945216,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
2025-05-15,0.0,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
2025-05-16,-2.0654779030746027,-1.4691949659342567,-2.688174567764562,-2.299898094593535,-3.9513660188796047
