ticker,breach_95,rate_95,kupiec_p_95,cc_p_95,breach_99,rate_99,kupiec_p_99,cc_p_99
HPG,13,0.052845528455284556,0.8391499068818281,0.8866582111476952,6,0.024390243902439025,0.0553707893979023,0.14075783290719324
HSG,14,0.056910569105691054,0.626219583471137,0.08318735495825968,5,0.02032520325203252,0.15327521764020346,0.33192721671289915
NKG,14,0.056910569105691054,0.626219583471137,0.08318735495825968,7,0.028455284552845527,0.017498754379213,0.020782287362672625
TLH,13,0.052845528455284556,0.8391499068818281,0.059212364675724216,2,0.008130081300813009,0.7606327288228372,0.9390684509411791
DGC,19,0.07723577235772358,0.06853116752875044,0.0007287070457311362,3,0.012195121951219513,0.7379869453741219,0.9224753238621695
DCM,11,0.044715447154471545,0.6987931778639189,0.17025657130160932,3,0.012195121951219513,0.7379869453741219,0.03809862236920736
DPM,18,0.07317073170731707,0.117676328709034,0.026208699221626386,1,0.0040650406504065045,0.28811422424442046,0.5688114820834949
CSV,13,0.052845528455284556,0.8391499068818281,0.32824895936796117,3,0.012195121951219513,0.7379869453741219,0.9224753238621695
VIC,20,0.08130081300813008,0.03807082751290436,0.060419427521726465,3,0.012195121951219513,0.7379869453741219,0.9224753238621695
VHM,18,0.07317073170731707,0.117676328709034,0.09974894851659077,3,0.012195121951219513,0.7379869453741219,0.9224753238621695
KDH,22,0.08943089430894309,0.010244956780783965,0.011828751024657191,6,0.024390243902439025,0.0553707893979023,0.14075783290719324
NLG,24,0.0975609756097561,0.0023146746378913674,0.0018920370698853883,7,0.028455284552845527,0.017498754379213,0.04983955908453974
VNM,14,0.056910569105691054,0.626219583471137,0.8486593851659581,4,0.016260162601626018,0.3655246024139712,0.0623751658435423
SAB,11,0.044715447154471545,0.6987931778639189,0.17025657130160932,4,0.016260162601626018,0.3655246024139712,0.6318504316409954
MSN,15,0.06097560975609756,0.4444203226156207,0.016206680313630262,7,0.028455284552845527,0.017498754379213,0.0014918317863451547
KDC,24,0.0975609756097561,0.0023146746378913674,0.009478411894392247,6,0.024390243902439025,0.0553707893979023,0.1372315354534419
GAS,14,0.056910569105691054,0.626219583471137,0.08318735495825968,2,0.008130081300813009,0.7606327288228372,0.9468454264046535
PLX,11,0.044715447154471545,0.6987931778639189,0.01927232361695319,3,0.012195121951219513,0.7379869453741219,0.9224753238621695
PVD,20,0.08130081300813008,0.03807082751290436,0.02113903148074514,4,0.016260162601626018,0.3655246024139712,0.0623751658435423
CNG,11,0.044715447154471545,0.6987931778639189,0.7003650130830994,2,0.008130081300813009,0.7606327288228372,0.9468454264046535
VCB,16,0.06504065040650407,0.2999191312518781,0.11309014574093856,5,0.02032520325203252,0.15327521764020346,0.059759068377181035
TCB,15,0.06097560975609756,0.4444203226156207,0.3883552841345398,7,0.028455284552845527,0.017498754379213,0.04983955908453974
MBB,12,0.04878048780487805,0.9297943444583248,0.5658530826713772,5,0.02032520325203252,0.15327521764020346,0.33192721671289915
CTG,18,0.07317073170731707,0.117676328709034,0.026208699221626386,5,0.02032520325203252,0.15327521764020346,0.059759068377181035
SSI,17,0.06910569105691057,0.19254426915894096,0.425071571676231,4,0.016260162601626018,0.3655246024139712,0.6318504316409954
VND,19,0.07723577235772358,0.06853116752875044,0.16587587579248786,6,0.024390243902439025,0.0553707893979023,0.14075783290719324
HCM,19,0.07723577235772358,0.06853116752875044,0.024708286741127572,5,0.02032520325203252,0.15327521764020346,0.33192721671289915
VCI,16,0.06504065040650407,0.2999191312518781,0.11309014574093856,4,0.016260162601626018,0.3655246024139712,0.6318504316409954
GMD,15,0.06097560975609756,0.4444203226156207,0.016206680313630262,5,0.02032520325203252,0.15327521764020346,0.059759068377181035
HAH,16,0.06504065040650407,0.2999191312518781,0.36046490346482907,1,0.0040650406504065045,0.28811422424442046,0.5688114820834949
VSC,15,0.06097560975609756,0.4444203226156207,0.7369279418128044,5,0.02032520325203252,0.15327521764020346,0.059759068377181035
VOS,9,0.036585365853658534,0.31165807188782246,0.003006312511359188,3,0.012195121951219513,0.7379869453741219,0.9224753238621695
FPT,17,0.06910569105691057,0.19254426915894096,0.1299727472458685,4,0.016260162601626018,0.3655246024139712,0.6318504316409954
CMG,10,0.04065040650406504,0.4873920244797766,0.008465717773724069,4,0.016260162601626018,0.3655246024139712,0.6318504316409954
ELC,17,0.06910569105691057,0.19254426915894096,0.0037025373262725703,2,0.008130081300813009,0.7606327288228372,0.9468454264046535
CTR,13,0.052845528455284556,0.8391499068818281,0.059212364675724216,2,0.008130081300813009,0.7606327288228372,0.9468454264046535
POW,14,0.056910569105691054,0.626219583471137,0.010731247778591468,5,0.02032520325203252,0.15327521764020346,0.33192721671289915
NT2,14,0.056910569105691054,0.626219583471137,0.8486593851659581,4,0.016260162601626018,0.3655246024139712,0.6318504316409954
REE,10,0.04065040650406504,0.4873920244797766,0.5190088038082509,5,0.02032520325203252,0.15327521764020346,0.33192721671289915
GEG,17,0.06910569105691057,0.19254426915894096,0.1299727472458685,3,0.012195121951219513,0.7379869453741219,0.9224753238621695
