ticker,skew,kurtosis,jb_pvalue,arch_lm_pvalue,garch_alpha,garch_beta,persistence,nu_tail,converged
HPG,-0.12073726010369792,3.4987311828785224,2.902535934564189e-82,1.2702093784401213e-15,0.11044652882941282,0.8134345919147772,0.92388112074419,3.930480123120061,True
HSG,-0.21921422575222094,1.8389290574564257,2.4251359905750192e-24,7.65926913312523e-12,0.11447942760517386,0.812230359226699,0.9267097868318728,4.730232173554413,True
NKG,-0.22985104843627577,1.5453719120696983,6.933396949229434e-18,1.047625323001126e-05,0.08655231180688078,0.8613835365197028,0.9479358483265836,4.492222413431515,True
TLH,-0.03677389489786782,2.480770255240201,1.7595646659213963e-41,9.43790441252536e-18,0.2865999016622271,0.7134000983377728,1.0,2.772303172800542,True
DGC,-0.22510052457404556,2.584574774012469,2.6837163569212853e-46,2.6060730558996374e-30,0.18421942797958793,0.815780572020412,0.9999999999999999,3.4232780436385504,True
DCM,-0.2787303582723615,2.9361004039837315,6.544859965014012e-60,1.3793724527942332e-16,0.1516977489822075,0.8418301592256978,0.9935279082079054,4.1624874116133,True
DPM,-0.2310524485427682,2.986860214302869,2.969804113112235e-61,6.719024008202301e-19,0.17922846788962968,0.7872603433876508,0.9664888112772805,3.8777544831675073,True
CSV,-0.039887888259010074,1.1833343293015748,5.73916710712164e-10,4.387904713598195e-13,0.15635256557514973,0.7837447061759053,0.9400972717510551,4.762372671162211,True
VIC,0.11679638700912666,1.9077543501790206,3.9831722603310914e-25,1.5311371622514903e-18,0.17073584326589494,0.8292641567341025,0.9999999999999974,3.410019874996637,True
VHM,-0.1190709470020068,1.9794297913499497,5.470646607431291e-27,2.647629975428019e-18,0.10475721347256829,0.8952427865274317,1.0,3.7580937690250082,True
KDH,-0.35142549850670524,3.841799941060909,6.305787633845925e-102,2.4476397113455683e-09,0.08673315818360955,0.9132668418164321,1.0000000000000417,3.144094001964263,True
NLG,-0.046037574571049726,1.3511365887217828,8.519786991075323e-13,2.1312579065187878e-07,0.09983210356536401,0.8746318051641042,0.9744639087294682,3.8515738806142186,True
VNM,0.08632715410846546,4.38286864872743,2.199619565733469e-128,1.9979975979682227e-26,0.3159296565545704,0.6133147314202102,0.9292443879747806,3.4626694127175224,True
SAB,0.2540918237598749,4.863691410813614,1.7778715333785172e-159,7.761817957059334e-19,0.21435339550640398,0.7663916018916269,0.9807449973980309,3.299040324791614,True
MSN,-0.20154454588126164,2.68701909794978,1.2986888234876468e-49,6.182928222701264e-15,0.14905053955462433,0.6527867632630538,0.8018373028176782,3.8589272869552054,True
KDC,1.0315511039629748,10.03881981157113,0.0,1.9062189955556472e-19,0.550536633955283,0.449463366044451,0.999999999999734,2.545781451677556,True
GAS,0.09001567315444971,5.089338476208359,6.849909316032386e-173,3.6180529480805285e-62,0.22527415167525983,0.7747258483247412,1.000000000000001,4.06052119140814,True
PLX,0.1483003405397331,3.2996986585705077,1.7913175213109694e-73,1.1333202516941172e-39,0.22355145055062325,0.7609873308952511,0.9845387814458744,3.439397941300265,True
PVD,-0.17589377518012808,2.002370046414841,4.802809151811264e-28,3.699729791763029e-13,0.1013392889037417,0.8840366122869414,0.9853759011906831,3.9444002584186957,True
CNG,0.11836516702955599,3.9262118143046427,2.4333251306660363e-103,8.030301296665615e-11,0.17622711484719109,0.8237728851528089,1.0,2.8715961635624563,True
VCB,-0.5868664236228963,13.187259778947706,0.0,2.3754491853985237e-07,0.45244050055249513,0.41918812808875155,0.8716286286412467,3.1359779148896445,True
TCB,-0.15404744789129296,2.64640510872768,1.0135666195752128e-47,3.464024663297511e-06,0.14882121674122425,0.6665682907772477,0.815389507518472,3.6471609167881245,True
MBB,-0.5259179693458805,6.9229002666564154,0.0,0.010354788655050013,0.14793317280690263,0.7621225235419872,0.9100556963488898,3.341379398341075,True
CTG,-0.48515148866062185,5.2746665010032325,8.971901411838451e-192,9.53575075517447e-06,0.2428742471719761,0.5256130466698592,0.7684872938418352,3.0712298393202677,True
SSI,-0.1301959872842416,2.0967164048756173,3.1065032874899512e-30,5.222986185644569e-15,0.2202184647468554,0.771379290128987,0.9915977548758423,3.780603747860582,True
VND,-0.07034378980515697,1.7316564158893648,1.211005634319324e-20,1.0537593287969913e-08,0.16006064573186898,0.7721566443731248,0.9322172901049938,4.335756773535471,True
HCM,-2.8665610826691195,34.40176544137419,0.0,0.9999352859647517,0.2647289434940058,0.39597068889089826,0.660699632384904,3.258526415363628,True
VCI,-0.23601826060417364,1.721370166586679,8.9895063425741e-22,5.463164891893331e-12,0.1284218391177362,0.8460596977872432,0.9744815369049794,3.893356499718305,True
GMD,0.08015532857723984,2.860780092461436,4.284389711634012e-55,1.4769421487284461e-13,0.11327911022479319,0.8598269553961926,0.9731060656209858,3.638921896115644,True
HAH,-2.7910714464231274,34.453963868242965,0.0,0.9997856632624031,0.21117714368443813,0.6431627014321946,0.8543398451166326,3.6178806695621306,True
VSC,-1.7748832463378013,19.140089488102156,0.0,0.9722223015036224,0.17204103729979872,0.8279589627002012,0.9999999999999999,4.320369550378105,True
VOS,-0.06957917195641554,0.8540553588314994,1.2698281841894691e-05,6.666677451104249e-15,0.1652257522128968,0.7816304842575952,0.946856236470492,5.454143674464123,True
FPT,-0.7357549264114646,8.31376144783956,0.0,0.30369388573117023,0.11539651429842478,0.8832818678187427,0.9986783821171675,3.5760909116084045,True
CMG,0.04737111767248578,2.1772186941550427,4.0279443963568146e-32,1.5248615165809787e-19,0.16212260378700558,0.8378773962151727,1.0000000000021783,3.725626922550582,True
ELC,-0.025957181423422175,1.8305775194552778,7.277995768241985e-23,1.4007675015596543e-07,0.1057267175553256,0.8763010331934425,0.9820277507487681,3.231407443565191,True
CTR,0.1881455767110405,1.8743795633749967,7.115587302145507e-25,1.1359975942108244e-11,0.16865169153036197,0.7616443997134833,0.9302960912438453,3.4803232405298967,True
POW,-0.011018542431868719,2.8749828943898557,1.8213702446689654e-55,3.83942535325297e-17,0.1095790884808729,0.8694226958397154,0.9790017843205884,4.219304405735739,True
NT2,0.09094214395409889,3.1400645341203424,2.8258125311787893e-66,2.5652209922625204e-06,0.09123952461437307,0.8801269443609782,0.9713664689753512,3.0601114560805254,True
REE,-1.102353804934091,10.911888865420625,0.0,0.10417044395932103,0.1321994633943649,0.6784878314805196,0.8106872948748844,3.6528312820717894,True
GEG,-0.05345208799213914,2.9025568877509427,1.34541380501916e-56,3.897003117712306e-09,0.128610409298113,0.8697619907495879,0.9983724000477009,3.137463169359908,True
