Price,Close,High,Low,Open,Volume
Ticker,TLT,TLT,TLT,TLT,TLT
Date,,,,,
2013-01-02,81.6675796508789,81.89982539901276,81.5651236560778,81.80419632960276,7472700
2013-01-03,80.56095886230469,81.61971004827151,80.53363554499465,81.54457222851639,10004300
2013-01-04,80.87519073486328,80.90251405945071,80.16479992976416,80.3697222584742,9574600
2013-01-07,80.90934753417969,81.10061082178036,80.60196922761412,80.85470609197122,4193100
2013-01-08,81.44210815429688,81.48309052046655,81.16204808843236,81.31232371290703,4380900
2013-01-09,81.36703491210938,81.65392212573963,81.19626796903515,81.4558318464063,3870300
2013-01-10,81.14159393310547,81.48995983868751,80.84787468161312,81.0323006249261,5602800
2013-01-11,81.86566162109375,81.87249375718517,80.84106008588259,80.95718034247221,4770700
2013-01-14,81.64022827148438,82.15936104952458,81.53777231187718,81.99542630276143,3064600
2013-01-15,82.01593780517578,82.44626857626837,81.94763207805849,82.38479498528068,5357800
2013-01-16,82.18668365478516,82.43258837846815,81.9749343915993,82.39843291797101,4286100
2013-01-17,81.36703491210938,81.66075426265279,81.11429796025784,81.5104785189245,7019200
2013-01-18,81.99539947509766,82.11151966558745,81.59921918960195,81.6743570096577,4660000
2013-01-22,82.15253448486328,82.17303088956596,81.54460476348322,81.6607302112305,3874100
2013-01-23,82.02953338623047,82.3642400494553,81.93390439999163,82.20030017756967,2848800
2013-01-24,81.74272918701172,81.94765162864572,81.46267407559904,81.87934588523244,4178900
2013-01-25,80.62248992919922,81.01183835867386,80.44489084568988,80.88888594876641,8750700
2013-01-28,80.32875061035156,80.41072060038405,79.91891108297375,79.932570142283,6059900
2013-01-29,79.88471984863281,80.6565892444996,79.83007842446958,80.34237890715356,5553900
2013-01-30,79.7481460571289,79.89158963451982,79.34513865561051,79.69349939582024,9586800
2013-01-31,80.13748931884766,80.15114837761271,79.61152956842324,79.93939909270566,6789200
2013-02-01,79.09687805175781,80.67826626141806,79.0763413565099,80.59611948042638,10928600
2013-02-04,80.11011505126953,80.28810857070647,79.6993651950801,79.81574336345635,9291900
2013-02-05,79.39815521240234,79.70621631351891,79.31600314805284,79.59668022771957,6676500
2013-02-06,80.04851531982422,80.07589934352251,79.44608246736733,79.76783299414313,5892000
2013-02-07,79.87049102783203,80.50030766151333,79.83626492861228,79.93894844923801,5951700
2013-02-08,80.17857360839844,80.2059576271382,79.56929355459961,79.95950668144793,5603400
2013-02-11,80.1169204711914,80.35652399343941,80.04161576091846,80.13061508558562,3679900
2013-02-12,79.91841888427734,80.11010177052381,79.72673599803088,79.88419278200016,4513700
2013-02-13,79.26808166503906,79.5966794733869,79.10378276086514,79.27492897607864,6586400
2013-02-14,79.98688507080078,80.12380516380385,79.40498903869836,79.61036656671921,7096000
2013-02-15,79.7541275024414,79.91842638851341,79.45975583578839,79.86366357513435,5861800
2013-02-19,79.35709381103516,80.02798942490467,79.30232575623577,80.00060539750498,7383600
2013-02-20,79.5966567993164,79.66511944427378,79.11744962241377,79.19960166258274,9603900
2013-02-21,80.06217956542969,80.3086304783133,79.91841740340871,80.02795346378669,8297400
2013-02-22,80.1169204711914,80.32913998761606,80.01423175509511,80.08269438113602,5316900
2013-02-25,81.69153594970703,81.70522535271438,79.61039675363509,79.65147018562661,15948700
2013-02-26,81.21916198730469,81.92428368431085,81.18493064895785,81.28077735173524,9822100
2013-02-27,80.97953033447266,81.83526126806507,80.78100013112316,81.80102994153452,7459600
2013-02-28,81.13015747070312,81.23284624967566,80.76732831157268,81.07538942552202,6023400
2013-03-01,81.57198333740234,81.78465882402747,81.32500298910806,81.53081645656195,7786800
2013-03-04,81.13970947265625,81.61995103578394,81.13285269237377,81.49646094631493,4511400
2013-03-05,80.9064712524414,81.09170381060285,80.73495749206857,81.00251853951544,6539300
2013-03-06,80.17241668701172,80.61149162692561,80.16555466896071,80.34393049898391,6514900
2013-03-07,79.55491638183594,79.93224862690153,79.52061678131,79.86364419166675,8526700
2013-03-08,78.72481536865234,79.14330935928146,78.63563009829276,78.80714385726586,15423600
2013-03-11,78.8002700805664,79.05411229026762,78.71794160424024,78.9786458288479,5815800
2013-03-12,79.36973571777344,79.43834019781217,79.05415092224624,79.06786972457945,9264200
2013-03-13,79.28738403320312,79.40401213860851,78.91691366822297,79.06098460446223,7371500
2013-03-14,79.0472640991211,79.33540596537723,78.88261235185826,78.95807359229086,9352100
2013-03-15,79.41770935058594,79.50003258110101,79.10212475385111,79.12270556147988,9673400
2013-03-18,80.02149963378906,80.18615146050578,79.68533396093781,80.1518518317912,9152200
2013-03-19,80.56348419189453,80.87906904136987,80.06266145704389,80.11754714413192,11986200
2013-03-20,79.66471862792969,80.26158320404988,79.63727579633331,80.06948861706017,8543900
2013-03-21,80.4331283569336,80.43999037605614,79.94602968297207,80.17242920633343,6119400
2013-03-22,80.494873046875,80.61150119665682,80.11067850320137,80.47429222446488,6323800
2013-03-25,80.41944885253906,80.80363836415735,80.04211612920716,80.11072065139763,5839800
2013-03-26,80.5154037475586,80.89273603747309,80.11749064804577,80.17923831102429,5093200
2013-03-27,81.20149230957031,81.48277221431658,81.07800216660749,81.16033067331126,7742900
2013-03-28,80.78984832763672,81.26322277734839,80.7349626645967,81.0368285771319,5826400
2013-04-01,81.39830017089844,81.41892564310518,80.77950977698478,80.80013524919153,6113800
2013-04-02,81.06831359863281,81.22644577730625,80.95830404343016,81.17831790829116,5438000
2013-04-03,81.79713439941406,82.01714833382388,81.30210173560548,81.34335270907421,9527400
2013-04-04,82.77336883544922,82.7871226441633,82.14083001866942,82.22333188878962,9365700
2013-04-05,84.44416809082031,84.86357042109243,84.31353303024677,84.48541905919288,18626200
2013-04-08,83.79784393310547,84.47851613263452,83.729090596079,84.34100421303823,8020300
2013-04-09,83.5915756225586,84.04535179831433,83.4540637166153,83.900968231231,7176100
2013-04-10,82.44339752197266,82.95905548422004,82.43652061372369,82.91092237202133,10765200
2013-04-11,82.60152435302734,82.84216367074426,82.4296383767233,82.62214983089683,7501800
2013-04-12,83.8322525024414,83.83912941220879,83.12408291721131,83.41972709066657,9253000
2013-04-15,84.56105041503906,84.58855280948826,83.79100435264306,83.96976204824476,12948400
2013-04-16,83.86663818359375,84.23790741054361,83.79787957178134,83.82538196739719,6553500
2013-04-17,84.42351531982422,84.93229633230716,84.08662028073152,84.08662028073152,9020900
2013-04-18,84.62981414794922,84.71919825224755,84.29291895437171,84.43730260876207,7009500
2013-04-19,84.4510269165039,84.55415956089595,84.31351497546645,84.52665717268846,5474300
2013-04-22,84.51293182373047,84.76732506618319,84.34104577369251,84.4579270287873,4519400
2013-04-23,84.21726989746094,85.11107926791398,84.14163963170515,84.74668175775147,8042900
2013-04-24,84.43040466308594,84.44415323494296,84.08663266567197,84.20351388586207,3673600
2013-04-25,84.06598663330078,84.1347452166999,83.94910543439177,84.05223806394702,4297800
2013-04-26,84.83606719970703,84.9185743811929,84.57480232665301,84.70543214040738,4898800
2013-04-29,84.52666473388672,85.06982514709777,84.40290659865451,84.96669249348017,4916000
2013-04-30,84.57477569580078,85.04230575258126,84.34100804463874,84.74666166894738,4477400
2013-05-01,85.4436264038086,85.61587788540672,85.04400170489342,85.06467104161351,10724600
2013-05-02,85.33340454101562,85.41608716553141,85.0991449899366,85.15426148291442,4171800
2013-05-03,83.32149505615234,84.18964408037901,83.25259550809912,84.1689747416329,11283600
2013-05-06,83.11476135253906,83.54194680800938,82.90117125315224,83.4730472846617,5121900
2013-05-07,82.79095458984375,83.02521408146436,82.71516351744931,82.81162392655168,5049200
2013-05-08,82.92185974121094,83.25258488905975,82.79783846785487,82.86673800711982,5732900
2013-05-09,82.70830535888672,83.59023245893387,82.66696666879082,83.03213911583845,7527000
2013-05-10,81.81945037841797,82.53601714306217,81.19934401894723,82.51534780719612,11689000
