,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown
Max Sharpe,0.5914398391869764,0.28618653149848633,1.9617968611144996,-0.2558690017792002
Min Variance,0.012610625061980851,0.14530900326258067,-0.11967169650593276,-0.18712470489188135
Risk Parity,0.16653646615699835,0.17639275622897166,0.7740480339213209,-0.22045638078579613
Equal Weight,0.19373468421390316,0.2021746063106897,0.8098677039701297,-0.2480254455485959
